bank_id;card_id;transaction_date;amount;designation;founding_date;name;card_type;branch_id;branch_location
231;836;2029-02-24;1764,12;Credito Nacional;2024-06-12;Platinum Visa;premium credit;146,0;Faro - Centro
39;125;2027-11-26;138,22;Credito Nacional;2025-04-30;Everyday Debit;debit;161,0;Porto - Boavista
108;443;2029-09-24;649,94;Nova Caixa;2023-12-28;Golden Visa;credit;;Guimaraes - Centro
186;794;2025-04-01;2855,25;Nova Caixa;2025-03-04;Premium Black Mastercard;premium credit;96,0;Faro - Centro
216;930;2027-06-25;1550,25;Nova Caixa;2025-11-27;Premium Black Mastercard;premium credit;75,0;Coimbra - Baixa
239;883;2031-08-12;1218,18;Banco Horizonte;2024-05-11;Gold Mastercard;credit;;Braga - Centro
439;977;2023-10-05;5307,96;Banco Atlantico;2022-07-07;Business Gold Mastercard;business credit;94,0;Aveiro - Forum
332;674;2029-08-29;73,75;Lusitania Bank;2023-12-23;Student Debit;debit;26,0;Faro - Centro
202;821;2026-01-21;99,82;FinPrime Bank;2023-04-17;Debit Plus;debit;113,0;Braga - Centro
280;882;2025-12-17;91,36;FinPrime Bank;2022-07-26;Green Debit Card;debit;;Porto - Boavista
350;34;2029-10-29;86,89;Lusitania Bank;2022-11-16;Visa Electron;debit;;Faro - Centro
294;854;2026-06-06;1264,36;Nova Caixa;2023-02-11;Infinite Visa;premium credit;;Porto - Boavista
147;645;2022-05-12;479,8;Credito Nacional;2021-03-03;Gold Mastercard;credit;;Faro - Centro
72;117;2032-08-11;76,29;Nova Caixa;2023-02-15;Green Debit Card;debit;86,0;Faro - Centro
72;117;2031-04-20;95,74;Nova Caixa;2023-02-15;Green Debit Card;debit;127,0;Guimaraes - Centro
72;117;2024-11-10;59,47;Nova Caixa;2023-02-15;Green Debit Card;debit;131,0;Porto - Boavista
427;163;2029-11-12;815,87;Banco Atlantico;2024-12-25;Travel Rewards Visa;credit;133,0;Braga - Centro
427;163;2031-07-22;257,84;Banco Atlantico;2024-12-25;Travel Rewards Visa;credit;198,0;Viseu - Rossio
92;882;2031-12-29;92,63;Lusitania Bank;2026-01-23;Green Debit Card;debit;71,0;Porto - Boavista
498;906;2025-08-28;96,14;Nova Caixa;2024-05-24;Debit Plus;debit;;Setubal - Avenida Luisa Todi
204;62;2029-10-29;139,29;Nova Caixa;2024-03-29;Student Debit;debit;;Porto - Boavista
50;715;2025-06-22;1600,0;Lusitania Bank;2023-07-22;Golden Visa;credit;;Porto - Boavista
296;21;2028-03-12;3224,41;Lusitania Bank;2022-01-13;Infinite Visa;premium credit;98,0;Viseu - Rossio
93;484;2024-12-14;7000,0;Credito Nacional;2024-10-06;Business Gold Mastercard;business credit;;Aveiro - Forum
11;80;2022-09-03;2256,72;Banco Horizonte;2022-05-03;Premium Black Mastercard;premium credit;7,0;Guimaraes - Centro
159;322;2026-01-28;828,97;Credito Nacional;2024-04-09;Gold Mastercard;credit;;Porto - Boavista
133;5;2027-04-17;138,46;Banco Atlantico;2021-09-26;Debit Plus;debit;;Braga - Centro
404;514;2022-10-02;2170,85;Lusitania Bank;2022-01-04;Infinite Visa;premium credit;;Leiria - Centro
283;601;2025-12-19;78,39;Banco Atlantico;2025-03-12;Everyday Debit;debit;122,0;Lisboa - Saldanha
244;810;2026-06-27;180,0;FinPrime Bank;2023-11-07;Student Debit;debit;;Porto - Boavista
123;105;2022-09-11;3288,41;Credito Nacional;2021-04-20;Platinum Visa;premium credit;50,0;Setubal - Avenida Luisa Todi
31;322;2024-08-25;1126,54;Banco Atlantico;2021-02-22;Gold Mastercard;credit;43,0;Braga - Centro
54;805;2026-01-27;60,04;Nova Caixa;2021-04-06;Everyday Debit;debit;;Aveiro - Forum
479;58;2023-11-22;148,27;Banco Horizonte;2021-05-12;Business Debit;debit;;Viseu - Rossio
499;56;2025-11-29;96,39;Banco Atlantico;2022-06-13;Debit Plus;debit;66,0;Faro - Centro
352;692;2026-03-26;1396,16;FinPrime Bank;2025-08-06;Premium Black Mastercard;premium credit;;Faro - Centro
